"","term","estimate","std.error","statistic","p.value","response","spatialunit","size"
"116","DJF_TAVG_diff",-0.147522723715015,0.01716657355856,-8.59360333101846,4.50309924336713e-17,"pcb","huc","12"
"117","personsPERha",0.112374452319031,0.0236913337491935,4.74327251933868,2.49674689052845e-06,"pcb","huc","12"
"118","(Intercept)",0.195922842430965,0.0420513577647977,4.65913237633856,3.72187630040237e-06,"pcb","huc","14"
"119","MAM_PRCP_diff",0.028288668134447,0.00249293989199183,11.3475131210824,9.14613483593038e-28,"pcb","huc","14"
"120","SiltClay",0.011250364203913,0.00105380096303588,10.6759858820987,5.88826019489868e-25,"pcb","huc","14"
"121","DJF_TAVG_diff",-0.150594311063571,0.0170416691705747,-8.83682869067763,6.2450808171531e-18,"pcb","huc","14"
"122","personsPERha",0.123362979988548,0.022151873709164,5.56896367360174,3.50686250958054e-08,"pcb","huc","14"
"123","(Intercept)",-0.154616222868978,0.0918336553448948,-1.68365532536295,0.0926644252365264,"ddt","huc","08"
"124","SiltClay",0.00321968631221342,0.000332024053438928,9.69714777849865,5.00237119108799e-21,"ddt","huc","08"
"125","DJF_PRCP_diff",0.00651853926010234,0.000930586616038256,7.00476360583544,5.50905476570323e-12,"ddt","huc","08"
"126","AGRCAT_prct",0.00720690458040371,0.00204218358599704,3.52901895295821,0.000442528375541175,"ddt","huc","08"
"127","MAM_TAVG_diff",0.0318321420223059,0.00908363753541471,3.50433864167309,0.000484907334741784,"ddt","huc","08"
"128","POORLY_DRAINE_prct",0.00231715360369674,0.000884411520002753,2.61999482287332,0.00897095688723559,"ddt","huc","08"
"129","personsPERha",0.0559398279055739,0.0230349352218675,2.4284777607045,0.0153964542916355,"ddt","huc","08"
"130","Logger_Salin_mean",-0.00289278345774728,0.00112282595296615,-2.57634181869904,0.0101753519669259,"ddt","huc","08"
"131","(Intercept)",0.0926229900615073,0.0354199248624782,2.61499679689119,0.00909448334376653,"ddt","huc","10"
"132","TOC_sediment",0.0477095115377664,0.00560284298187183,8.515232658158,8.44934038550448e-17,"ddt","huc","10"
"133","DJF_PRCP_diff",0.00624729337909359,0.000907704114337253,6.88252182668023,1.20548498958421e-11,"ddt","huc","10"
"134","AGRCAT_prct",0.00704785596259986,0.0016233768312535,4.34147871702582,1.60100794338598e-05,"ddt","huc","10"
"135","Logger_Salin_mean",-0.0039305025269683,0.00103327484301954,-3.80392743859143,0.000153510864029828,"ddt","huc","10"
"136","personsPERha",0.0403760879088169,0.0107631731032902,3.75131827030398,0.000188886030687182,"ddt","huc","10"
"137","MAM_TAVG_diff",0.0269757890072042,0.00866854571802185,3.11191633345391,0.00192628100361194,"ddt","huc","10"
"138","(Intercept)",0.206181733555573,0.0358189302828704,5.75622253169786,1.23354477823689e-08,"ddt","huc","12"
"139","SiltClay",0.00317166248791126,0.00032521769864587,9.75242891490013,2.74594430715783e-21,"ddt","huc","12"
"140","DJF_PRCP_diff",0.00633147683293236,0.000886818430152296,7.13954132848258,2.13572448317715e-12,"ddt","huc","12"
"141","AGRCAT_prct",0.00627671474298678,0.00134020109602736,4.68341263232235,3.32409761131128e-06,"ddt","huc","12"
"142","Logger_Salin_mean",-0.0051940214492368,0.00103111780797427,-5.03727256872902,5.86296347132663e-07,"ddt","huc","12"
"143","personsPERha",0.0197886355069654,0.00769818264631677,2.57055936655821,0.0103366804471303,"ddt","huc","12"
"144","MAM_TAVG_diff",0.0351688038424521,0.008500186465633,4.13741557136925,3.89174392888016e-05,"ddt","huc","12"
"145","MARCAT_prct",-0.00287784714474341,0.000751603150866711,-3.82894502427887,0.000138947462632497,"ddt","huc","12"
"146","(Intercept)",0.183463075682201,0.0348684274427368,5.26158158361159,1.83947164807404e-07,"ddt","huc","14"
"147","SiltClay",0.00310836711714218,0.000320448302519986,9.70005798969185,4.23937560463672e-21,"ddt","huc","14"
"148","DJF_PRCP_diff",0.00628182986906964,0.000880631805363669,7.13332158889659,2.21072249369305e-12,"ddt","huc","14"
"149","AGRCAT_prct",0.00633529746099304,0.00132395759844786,4.7851211159785,2.03804080608675e-06,"ddt","huc","14"
"150","Logger_Salin_mean",-0.00535267070859345,0.00103077009652679,-5.19288513183439,2.63397354614602e-07,"ddt","huc","14"
"151","personsPERha",0.0228943567740675,0.00712235078194921,3.21443824868759,0.00135988962577937,"ddt","huc","14"
"152","MAM_TAVG_diff",0.0339778324499804,0.00840232308087134,4.04386169431333,5.77115003985841e-05,"ddt","huc","14"
"153","MARCAT_prct",-0.00195363447974635,0.000649824131345429,-3.00640494175161,0.002726983476191,"ddt","huc","14"
"154","(Intercept)",-0.0133536265131964,0.0133200311066566,-1.00252217177804,0.316518353207433,"pbde","huc","08"
"155","DJF_PRCP_diff",0.00491065216087823,0.000493549626326352,9.94966240260333,1.31380631387302e-21,"pbde","huc","08"
"156","DJF_TAVG_diff",-0.0178660298607608,0.00278898567358904,-6.40592385609844,3.13829990851271e-10,"pbde","huc","08"
"157","AMO",0.180052899041292,0.037660243537265,4.78098074068822,2.22509498912928e-06,"pbde","huc","08"
"158","IMPERV_PRCT",0.00565896869928412,0.00271123761747435,2.08722712565331,0.0373127650514162,"pbde","huc","08"
"159","(Intercept)",-0.0111901667140115,0.0127280745735473,-0.879171994896069,0.379679804896865,"pbde","huc","10"
