"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","response","spatialunit","size"
"51",0.10818068620035,0.102105622754848,0.0700573765331292,17.8073343876684,1.10388631179375e-16,6,920.243837591979,-1826.48767518396,-1794.24112388057,3.60249842892121,734,"trawlabund","huc","12"
"52",0.101632905535704,0.0955132386796808,0.0703140885254004,16.6075879499328,1.47651586552423e-15,6,917.537203647751,-1821.0744072955,-1788.82785599211,3.62894814714586,734,"trawlabund","huc","14"
"53",0.187974988237613,0.174441238041573,5.26804525195622,13.8893496270248,3.2220579775281e-14,7,-1127.04562252859,2270.09124505719,2301.33413984163,9990.82827959705,360,"trawlsprichtidal","huc","08"
"54",0.210809941671484,0.197656774032675,5.19344571476415,16.0273135308856,2.37218851141111e-16,7,-1121.8114748718,2259.62294974361,2290.86584452805,9709.87622119278,360,"trawlsprichtidal","huc","10"
"55",0.19022111574241,0.176724801004784,5.26075428489461,14.0943005139093,2.00270546607407e-14,7,-1126.53734324567,2269.07468649134,2300.31758127578,9963.19283257331,360,"trawlsprichtidal","huc","12"
"56",0.186702877457959,0.173147925415592,5.27217007229316,13.7737763198572,4.21481217481021e-14,7,-1127.33286697178,2270.66573394356,2301.908628728,10006.4798176261,360,"trawlsprichtidal","huc","14"
"57",0.162619207897275,0.149003260058207,5.68805791178166,11.9432895762619,2.90887494077328e-12,7,-1183.61459517312,2383.22919034623,2414.66590349335,11938.6270360715,369,"trawlsprichopen","huc","08"
"58",0.162323714102842,0.148702961486628,5.68906142032817,11.917382150353,3.09362644368668e-12,7,-1183.68092465485,2383.3618493097,2414.79856245682,11942.8399225343,369,"trawlsprichopen","huc","10"
"59",0.166421077919805,0.150564957119366,5.68283632746402,10.4956994219672,4.86997282725074e-12,8,-1182.75909543659,2383.51819087317,2418.88449316368,11884.4233707061,368,"trawlsprichopen","huc","12"
"60",0.17886717511635,0.163247800729976,5.6402517960777,11.4516222411822,3.64101839044653e-13,8,-1179.93091656564,2377.86183313129,2413.22813542179,11706.978038922,368,"trawlsprichopen","huc","14"
"61",0.1225885178299,0.114911167360911,4359.15977600321,15.9675552555637,1.02381289273743e-19,8,-7913.55036268817,15845.1007253763,15887.351783903,15201819162.1795,800,"benthabund","huc","08"
"62",0.116885606491446,0.110270517401495,4370.57269120532,17.6695438114348,2.74838630323806e-19,7,-7916.16774454131,15848.3354890826,15885.8919855508,15300626424.9369,801,"benthabund","huc","10"
"63",0.125829111724669,0.11818011645226,4351.10236262138,16.4504104452188,2.48419722166923e-20,8,-7912.05548417225,15842.1109683445,15884.3620268712,15145673416.0075,800,"benthabund","huc","12"
"64",0.12167542293134,0.113990082881989,4361.42740733825,15.8321456370195,1.52390905103744e-19,8,-7913.97057433711,15845.9411486742,15888.1922072009,15217639223.585,800,"benthabund","huc","14"
"65",0.307615755700096,0.302416374641523,14.956938132128,59.1639182115558,1.2730738243202e-60,7,-3320.52044739329,6657.04089478657,6694.57756472662,178744.288632355,799,"benthsprich","huc","08"
"66",0.309020981759952,0.302959762301706,14.9511115912925,50.9833019392727,4.6039729383145e-60,8,-3319.70170901525,6657.40341803049,6699.63217171305,178381.518776593,798,"benthsprich","huc","10"
"67",0.312689091522628,0.306660048465809,14.9113742806578,51.8638013654532,5.66896321741001e-61,8,-3317.55665709874,6653.11331419747,6695.34206788003,177434.568184415,798,"benthsprich","huc","12"
"68",0.311532167196427,0.305492975680606,14.9239188786741,51.5850782973695,1.09887346802538e-60,8,-3318.23444139554,6654.46888279108,6696.69763647364,177733.237048403,798,"benthsprich","huc","14"
"69",0.347355787163618,0.342485307963346,0.744171890033612,71.3186060099085,3.13476153374972e-71,7,-907.607053869313,1831.21410773863,1868.80025217155,445.248608740624,804,"bibi","huc","08"
"70",0.332933846794877,0.327955741173943,0.752349207951847,66.8796269397811,1.88621178780648e-67,7,-916.470104106609,1848.94020821322,1886.52635264614,455.08758188744,804,"bibi","huc","10"
"71",0.355937379398743,0.349001320407652,0.740217234702804,51.3169481193792,3.54862284088961e-58,8,-731.703023183861,1481.40604636772,1521.80889074965,356.149010458193,650,"bibi","huc","12"
"72",0.348481238941763,0.34198229868183,0.744456487327336,53.6212405413587,1.13519371502796e-69,9,-906.907186109744,1833.81437221949,1880.79705276064,444.480800142052,802,"bibi","huc","14"
"73",0.391409017605423,0.386135265591605,0.102951946136908,74.2183205770555,5.49223844945012e-60,6,501.220764448536,-988.441528897071,-957.864218592618,6.11568255411846,577,"mambi","huc","08"
"74",0.409087266410288,0.401893546175283,0.101621935605298,56.8672749351077,9.5400279504348e-62,8,509.813622665201,-1001.6272453304,-962.313560653247,5.93803523279621,575,"mambi","huc","10"
"75",0.409569976493424,0.402293550147392,0.101779962198051,56.2872428052248,4.64023922955423e-61,8,502.84605139928,-987.692102798561,-948.487133852298,5.88400328046081,568,"mambi","huc","12"
"76",0.40376971451522,0.396511258865839,0.102078153268007,55.6274962635767,1.21349238171649e-60,8,507.202182056155,-996.404364112311,-957.090679435156,5.99147089039884,575,"mambi","huc","14"
"77",0.256902335049768,0.24339146841431,0.617179674327397,19.0144971437686,5.00073862644443e-19,7,-312.010878500226,640.021757000451,670.58242044327,125.700547632948,330,"entero","grid","25"
"78",0.261380571100666,0.24795112693886,0.615317164808936,19.4632456825014,1.90784475006358e-19,7,-310.992350637798,637.984701275597,668.545364718416,124.943020391807,330,"entero","grid","100"
"79",0.246590894087144,0.235210091883023,0.620507552868623,21.6672682350844,9.0767982838908e-19,6,-314.332959941402,642.665919882805,669.406500395271,127.444805268279,331,"entero","grid","400"
"80",0.246590894087144,0.235210091883023,0.620507552868623,21.6672682350844,9.0767982838908e-19,6,-314.332959941402,642.665919882805,669.406500395271,127.444805268279,331,"entero","grid","1600"
