SC_CLIM_DIV,START_DATE,END_DATE,MONTH,YEAR,    PCP,   TAVG,   TMIN,   TMAX,   PDSI,   PHDI,   ZNDX,   PMDI,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24
4,2/1/1997,2/28/1997,2,1997,3.84,50.5,39.4,61.6,1.97,1.97,0.07,1.84,0.13,0.26,-0.02,0.87,0.79,0.84,0.78
4,3/1/1997,3/31/1997,3,1997,2.92,60.6,47.7,73.4,1.19,1.19,-1.73,0.25,-0.41,-0.19,-0.02,0.01,0.77,0.53,0.85
4,4/1/1997,4/30/1997,4,1997,4.28,59.2,46.3,72.2,1.63,1.63,1.67,1.35,0.78,0.18,0.25,0.03,0.81,0.66,1.13
4,5/1/1997,5/31/1997,5,1997,2.09,66.6,53.5,79.7,1.18,1.18,-0.83,0.5,-0.97,-0.04,-0.38,-0.26,0.57,0.53,1
4,6/1/1997,6/30/1997,6,1997,5.94,73.4,63.8,82.9,1.72,1.72,1.99,1.72,0.64,-0.09,0.34,0.15,0.11,0.76,0.73
4,7/1/1997,7/31/1997,7,1997,6.51,80.4,70.3,90.4,1.88,1.88,1,1.88,0.49,0.66,0.11,0.22,0.08,0.75,0.89
4,8/1/1997,8/31/1997,8,1997,2.49,77.3,66.1,88.6,1.03,1.03,-1.97,0.03,-1.61,-0.86,-0.32,-0.56,-0.41,0.4,0.41
4,9/1/1997,9/30/1997,9,1997,6.37,73.4,63.2,83.5,1.45,1.45,1.58,1.14,0.8,-0.28,-0.05,0.08,-0.01,0,0.68
4,10/1/1997,10/31/1997,10,1997,3.55,63.7,52.6,74.7,1.64,1.64,1.02,1.64,0.45,0.76,-0.07,-0.01,0.08,0.01,0.33
4,11/1/1997,11/30/1997,11,1997,4.37,51.2,39.7,62.6,2.34,2.34,2.6,2.34,1.13,0.88,1.05,0.6,0.35,0.27,0.4
4,12/1/1997,12/31/1997,12,1997,5.43,45.9,35.8,56.1,2.99,2.99,2.67,2.99,1.23,1.48,1.21,0.82,0.78,0.65,0.73
4,1/1/1998,1/31/1998,1,1998,7.33,48.5,38.9,58.1,3.99,3.99,3.93,3.99,1.95,2.12,2.16,1.28,1.2,1.12,1.15
4,2/1/1998,2/28/1998,2,1998,8.73,49.6,39.5,59.7,5.21,5.21,4.89,5.21,2.72,3.09,3.09,2.31,2.1,1.8,1.86
4,3/1/1998,3/31/1998,3,1998,5.53,53.5,42.4,64.6,5.14,5.14,1.41,5.14,1.06,2.33,2.81,2.44,2.11,2.06,1.81
4,4/1/1998,4/30/1998,4,1998,5.37,62.7,51,74.4,5.4,5.4,2.36,5.4,1.35,1.63,2.41,2.98,2.24,2.27,1.82
4,5/1/1998,5/31/1998,5,1998,3.48,72.4,60.8,84.1,-0.08,4.77,-0.23,4.63,0.04,0.97,1.35,3.03,2.61,2.35,1.86
4,6/1/1998,6/30/1998,6,1998,3.16,80.3,68.6,91.9,-0.73,3.61,-2,2.67,-0.91,-0.74,0.24,2.27,2.27,1.94,1.69
4,7/1/1998,7/31/1998,7,1998,5.45,82.3,71.9,92.7,-1.12,2.78,-1.38,1.31,-0.01,-0.69,-0.65,1.39,2.24,1.79,1.64
4,8/1/1998,8/31/1998,8,1998,4.26,79.3,68.8,89.9,-1.58,1.92,-1.73,-0.15,-0.54,-0.58,-1.02,0.18,1.89,1.98,1.54
4,9/1/1998,9/30/1998,9,1998,4.44,75.5,64.2,86.9,-1.7,1.44,-0.83,-0.82,0.2,-0.34,-0.41,-0.24,1.53,1.76,1.23
4,10/1/1998,10/31/1998,10,1998,1.11,65.4,51.8,79,-2.29,-2.29,-2.32,-2.29,-0.87,-0.53,-0.87,-1.18,0.63,1.49,1.01
4,11/1/1998,11/30/1998,11,1998,1.43,57.3,45,69.6,-2.82,-2.82,-2.28,-2.82,-0.65,-1.29,-0.85,-1.46,-0.44,1.22,0.95
4,12/1/1998,12/31/1998,12,1998,4.34,52.4,41.4,63.3,-2.73,-2.73,-0.59,-2.73,0.69,0.07,-0.53,-0.81,-0.55,1.07,1.21
4,1/1/1999,1/31/1999,1,1999,6.33,50,36.9,63.2,-1.67,-1.67,2.33,-0.63,1.57,1.48,0.92,-0.01,-0.41,0.93,1.45
4,2/1/1999,2/28/1999,2,1999,2.18,49.7,36.9,62.5,-1.99,-1.99,-1.48,-1.53,-0.84,0.63,0.8,0.01,-0.65,0.03,1.28
4,3/1/1999,3/31/1999,3,1999,3.21,51.5,38.3,64.7,-1.95,-1.95,-0.51,-1.64,-0.21,-0.78,0.36,-0.1,-0.41,-0.31,1.28
4,4/1/1999,4/30/1999,4,1999,5.4,65.2,53.7,76.7,-1.07,-1.07,2.04,0.09,1.37,0.76,0.18,0.73,0.06,-0.33,1.3
4,5/1/1999,5/31/1999,5,1999,3.22,68.7,56.8,80.5,-0.93,-0.93,0.11,0.25,-0.13,0.88,0.53,0.89,0.2,-0.35,1.38
4,6/1/1999,6/30/1999,6,1999,3.25,75.4,65.4,85.3,-1.09,-1.09,-0.77,-0.21,-0.85,-0.82,0.19,0.32,-0.05,-0.31,1.14
